iter	Passed	Remaining
0	111	111470
1	112	56111
2	113	37690
3	114	28458
4	115	22968
5	116	19223
6	116	16569
7	117	14559
8	118	13003
9	119	11788
10	119	10764
11	120	9905
12	120	9185
13	121	8558
14	122	8017
15	122	7545
16	123	7130
17	123	6762
18	124	6443
19	125	6153
20	126	5891
21	127	5657
22	127	5436
23	129	5250
24	130	5078
25	131	4927
26	132	4767
27	133	4624
28	133	4480
29	134	4345
30	135	4222
31	135	4111
32	136	4006
33	137	3901
34	137	3800
35	138	3704
36	139	3619
37	139	3534
38	140	3455
39	140	3379
40	141	3311
41	142	3245
42	142	3179
43	143	3117
44	144	3057
45	144	2999
46	145	2944
47	145	2891
48	146	2841
49	147	2797
50	148	2755
51	148	2712
52	149	2667
53	149	2626
54	150	2584
55	150	2544
56	151	2507
57	152	2472
58	153	2444
59	153	2411
60	154	2377
61	155	2345
62	155	2313
63	156	2283
64	156	2255
65	157	2226
66	158	2201
67	159	2180
68	159	2154
69	160	2128
70	160	2103
71	161	2077
72	161	2053
73	162	2030
74	162	2007
75	163	1984
76	163	1964
77	164	1947
78	165	1928
79	166	1909
80	166	1890
81	167	1871
82	167	1850
83	168	1832
84	168	1814
85	169	1798
86	169	1783
87	170	1769
88	171	1754
89	172	1739
90	172	1723
91	173	1709
92	173	1694
93	174	1680
94	174	1665
95	175	1652
96	176	1639
97	176	1628
98	177	1615
99	178	1603
100	178	1591
101	179	1579
102	179	1567
103	180	1555
104	181	1544
105	181	1532
106	182	1523
107	183	1514
108	183	1503
109	184	1492
110	185	1482
111	185	1471
112	186	1461
113	186	1451
114	187	1441
115	187	1431
116	188	1422
117	189	1415
118	190	1408
119	190	1398
120	191	1390
121	191	1380
122	192	1371
123	192	1363
124	193	1354
125	194	1346
126	194	1338
127	195	1333
128	196	1325
129	196	1317
130	197	1310
131	198	1303
132	198	1296
133	199	1289
134	199	1281
135	200	1276
136	201	1270
137	202	1263
138	202	1256
139	203	1249
140	204	1243
141	204	1235
142	204	1228
143	205	1221
144	206	1214
145	206	1208
146	207	1204
147	208	1198
148	208	1192
149	209	1186
150	209	1180
151	210	1174
152	211	1168
153	211	1162
154	212	1155
155	212	1150
156	213	1145
157	214	1141
158	214	1137
159	215	1132
160	216	1125
161	216	1120
162	217	1114
163	217	1108
164	218	1103
165	218	1098
166	219	1094
167	220	1090
168	220	1086
169	221	1081
170	221	1076
171	222	1072
172	223	1068
173	224	1064
174	224	1059
175	225	1055
176	226	1051
177	226	1046
178	227	1042
179	227	1037
180	228	1034
181	229	1029
182	229	1025
183	230	1021
184	230	1016
185	231	1013
186	232	1009
187	232	1005
188	233	1001
189	233	997
190	234	993
191	235	989
192	235	985
193	236	981
194	236	977
195	237	974
196	238	971
197	239	968
198	239	964
199	240	961
200	240	957
201	241	953
202	241	949
203	242	946
204	243	942
205	243	939
206	244	936
207	245	933
208	245	929
209	246	926
210	246	922
211	248	921
212	248	918
213	249	914
214	249	912
215	250	910
216	251	906
217	251	903
218	252	900
219	252	896
220	253	893
221	254	890
222	254	887
223	255	883
224	255	881
225	256	879
226	257	876
227	257	872
228	258	869
229	258	866
230	259	863
231	259	860
232	260	857
233	260	854
234	261	851
235	262	849
236	262	846
237	263	843
238	264	840
239	264	837
240	265	835
241	265	832
242	266	829
243	266	827
244	267	824
245	268	822
246	268	819
247	269	817
248	270	814
249	270	812
250	271	809
251	271	807
252	272	804
253	273	802
254	273	799
255	274	798
256	275	796
257	276	794
258	276	791
259	277	789
260	277	786
261	278	784
262	279	783
263	280	781
264	281	779
265	281	777
266	282	776
267	283	773
268	284	772
269	285	770
270	285	769
271	286	767
272	287	765
273	287	762
274	288	760
275	289	758
276	289	756
277	290	754
278	291	753
279	292	751
280	293	750
281	294	748
282	294	746
283	295	744
284	295	742
285	296	741
286	297	739
287	298	737
288	298	735
289	299	733
290	300	731
291	300	728
292	301	726
293	301	724
294	302	722
295	302	720
296	303	719
297	304	717
298	305	715
299	305	713
300	306	712
301	307	710
302	308	709
303	309	708
304	310	708
305	311	706
306	312	704
307	312	702
308	313	700
309	313	698
310	314	697
311	315	695
312	316	694
313	317	693
314	317	691
315	318	689
316	318	687
317	319	685
318	320	683
319	320	681
320	321	680
321	322	678
322	322	676
323	323	674
324	324	673
325	324	671
326	325	669
327	325	667
328	326	666
329	327	665
330	328	663
331	328	661
332	329	659
333	330	658
334	330	656
335	331	654
336	331	652
